id,name,province_id
11.01,Aceh Selatan,11
11.02,Aceh Tenggara,11
11.03,Aceh Timur,11
11.04,Aceh Tengah,11
11.05,Aceh Barat,11
11.06,Aceh Besar,11
11.07,Pidie,11
11.08,Aceh Utara,11
11.09,Simeulue,11
11.1,Aceh Singkil,11
11.11,Bireuen,11
11.12,Aceh Barat Daya,11
11.13,Gayo Lues,11
11.14,Aceh Jaya,11
11.15,Nagan Raya,11
11.16,Aceh Tamiang,11
11.17,Bener Meriah,11
11.18,Pidie Jaya,11
11.71,Kota Banda Aceh,11
11.72,Kota Sabang,11
11.73,Kota Lhokseumawe,11
11.74,Kota Langsa,11
11.75,Kota Subulussalam,11
12.01,Tapanuli Tengah,12
12.02,Tapanuli Utara,12
12.03,Tapanuli Selatan,12
12.04,Nias,12
12.05,Langkat,12
12.06,Karo,12
12.07,Deli Serdang,12
12.08,Simalungun,12
12.09,Asahan,12
12.1,Labuhanbatu,12
12.11,Dairi,12
12.12,Toba,12
12.13,Mandailing Natal,12
12.14,Nias Selatan,12
12.15,Pakpak Bharat,12
12.16,Humbang Hasundutan,12
12.17,Samosir,12
12.18,Serdang Bedagai,12
12.19,Batu Bara,12
12.2,Padang Lawas Utara,12
12.21,Padang Lawas,12
12.22,Labuhanbatu Selatan,12
12.23,Labuhanbatu Utara,12
12.24,Nias Utara,12
12.25,Nias Barat,12
12.71,Kota Medan,12
12.72,Kota Pematangsiantar,12
12.73,Kota Sibolga,12
12.74,Kota Tanjung Balai,12
12.75,Kota Binjai,12
12.76,Kota Tebing Tinggi,12
12.77,Kota Padangsidimpuan,12
12.78,Kota Gunungsitoli,12
13.01,Pesisir Selatan,13
13.02,Solok,13
13.03,Sijunjung,13
13.04,Tanah Datar,13
13.05,Padang Pariaman,13
13.06,Agam,13
13.07,Lima Puluh Kota,13
13.08,Pasaman,13
13.09,Kepulauan Mentawai,13
13.1,Dharmasraya,13
13.11,Solok Selatan,13
13.12,Pasaman Barat,13
13.71,Kota Padang,13
13.72,Kota Solok,13
13.73,Kota Sawahlunto,13
13.74,Kota Padang Panjang,13
13.75,Kota Bukittinggi,13
13.76,Kota Payakumbuh,13
13.77,Kota Pariaman,13
14.01,Kampar,14
14.02,Indragiri Hulu,14
14.03,Bengkalis,14
14.04,Indragiri Hilir,14
14.05,Pelalawan,14
14.06,Rokan Hulu,14
14.07,Rokan Hilir,14
14.08,Siak,14
14.09,Kuantan Singingi,14
14.1,Kepulauan Meranti,14
14.71,Kota Pekanbaru,14
14.72,Kota Dumai,14
15.01,Kerinci,15
15.02,Merangin,15
15.03,Sarolangun,15
15.04,Batanghari,15
15.05,Muaro Jambi,15
15.06,Tanjung Jabung Barat,15
15.07,Tanjung Jabung Timur,15
15.08,Bungo,15
15.09,Tebo,15
15.71,Kota Jambi,15
15.72,Kota Sungai Penuh,15
16.01,Ogan Komering Ulu,16
16.02,Ogan Komering Ilir,16
16.03,Muara Enim,16
16.04,Lahat,16
16.05,Musi Rawas,16
16.06,Musi Banyuasin,16
16.07,Banyuasin,16
16.08,Ogan Komering Ulu Timur,16
16.09,Ogan Komering Ulu Selatan,16
16.1,Ogan Ilir,16
16.11,Empat Lawang,16
16.12,Penukal Abab Lematang Ilir,16
16.13,Musi Rawas Utara,16
16.71,Kota Palembang,16
16.72,Kota Pagar Alam,16
16.73,Kota Lubuk Linggau,16
16.74,Kota Prabumulih,16
17.01,Bengkulu Selatan,17
17.02,Rejang Lebong,17
17.03,Bengkulu Utara,17
17.04,Kaur,17
17.05,Seluma,17
17.06,Muko Muko,17
17.07,Lebong,17
17.08,Kepahiang,17
17.09,Bengkulu Tengah,17
17.71,Kota Bengkulu,17
18.01,Lampung Selatan,18
18.02,Lampung Tengah,18
18.03,Lampung Utara,18
18.04,Lampung Barat,18
18.05,Tulang Bawang,18
18.06,Tanggamus,18
18.07,Lampung Timur,18
18.08,Way Kanan,18
18.09,Pesawaran,18
18.1,Pringsewu,18
18.11,Mesuji,18
18.12,Tulang Bawang Barat,18
